timestamp,game_mode,target_word,cycle_time_sec,result
2026-01-16 16:29:14.772246,3,HOUSE,174.65,SUCCESS
2026-01-16 16:33:57.709570,1,HOUSE,62.45,SUCCESS
2026-01-16 16:44:39.086719,1,CAT,77.03,SUCCESS
2026-01-16 16:52:08.208496,3,BIRD,163.05,SUCCESS
2026-01-16 16:56:20.231148,2,HOUSE,133.32,SUCCESS
2026-01-16 17:01:53.529903,1,DOG,54.88,SUCCESS
2026-01-16 17:09:25.588508,1,BIRD,61.48,SUCCESS
2026-01-16 17:16:58.471029,2,CAT,114.85,SUCCESS
2026-01-16 17:24:46.305746,3,HOUSE,154.07,SUCCESS
2026-01-16 17:35:44.296755,2,HOUSE,141.47,SUCCESS
2026-01-16 17:42:22.800582,2,BIRD,121.0,SUCCESS
2026-01-16 17:49:04.081332,2,HOUSE,110.09,SUCCESS
2026-01-16 17:58:01.749514,1,HOUSE,50.13,SUCCESS
2026-01-16 18:06:50.896865,1,FISH,78.79,SUCCESS
2026-01-17 16:30:06.574133,2,HOUSE,125.02,SUCCESS
2026-01-17 16:34:30.178224,3,CAT,141.77,SUCCESS
2026-01-17 16:44:39.570507,3,BIRD,155.44,SUCCESS
2026-01-17 16:54:42.796754,1,CAT,70.78,SUCCESS
2026-01-17 17:05:03.349341,2,HOUSE,88.49,SUCCESS
2026-01-17 17:13:35.842416,2,FROG,114.12,SUCCESS
2026-01-17 17:20:26.681544,3,HOUSE,199.68,FAIL
2026-01-17 17:26:33.480500,1,BIRD,59.47,SUCCESS
2026-01-17 17:31:58.715858,2,CAT,134.7,SUCCESS
2026-01-17 17:37:19.248035,3,BIRD,151.36,SUCCESS
2026-01-17 17:43:02.793553,2,HOUSE,139.82,SUCCESS
2026-01-17 17:47:52.921426,1,CAKE,64.39,SUCCESS
2026-01-17 17:53:14.136306,1,HOUSE,46.61,SUCCESS
2026-01-17 18:00:33.642109,2,FISH,108.04,SUCCESS
2026-01-18 17:10:21.868611,1,HOUSE,58.73,SUCCESS
2026-01-18 17:19:09.741840,3,HOUSE,176.92,SUCCESS
2026-01-18 17:28:29.015179,2,HOUSE,144.03,SUCCESS
2026-01-18 17:33:19.252353,1,BIRD,67.22,SUCCESS
2026-01-18 17:37:51.940726,2,CAT,102.84,SUCCESS
2026-01-18 17:44:31.610334,3,BIRD,164.58,SUCCESS
2026-01-18 17:48:49.875572,1,FROG,79.31,SUCCESS
2026-01-18 17:57:08.046115,3,CAT,137.11,SUCCESS
2026-01-18 18:05:06.286125,2,HOUSE,129.77,SUCCESS
2026-01-18 18:12:50.198246,1,CAT,55.9,SUCCESS
2026-01-18 18:22:44.132155,2,FORK,153.63,SUCCESS
2026-01-18 18:31:41.520356,3,HOUSE,161.45,SUCCESS
2026-01-18 18:36:58.394512,1,DOG,72.66,SUCCESS
2026-01-18 18:46:03.989384,2,BIRD,112.41,SUCCESS
2026-01-19 16:20:14.030600,2,HOUSE,116.77,SUCCESS
2026-01-19 16:32:09.612629,1,BIRD,63.26,SUCCESS
2026-01-19 16:36:27.270920,3,HOUSE,149.93,SUCCESS
2026-01-19 16:46:34.337653,2,CAT,122.3,SUCCESS
2026-01-19 16:56:08.155357,3,BIRD,210.33,FAIL
2026-01-19 17:05:43.400032,1,HOUSE,44.77,SUCCESS
2026-01-19 17:14:24.614812,2,HOUSE,154.5,SUCCESS
2026-01-19 17:18:45.416063,1,CAKE,73.84,SUCCESS
2026-01-19 17:24:02.587306,2,FISH,107.15,SUCCESS
2026-01-19 17:34:51.894932,3,CAT,148.22,SUCCESS
2026-01-19 17:40:05.747083,1,HOUSE,69.92,SUCCESS
2026-01-19 17:52:25.967070,2,HOUSE,98.61,SUCCESS
2026-01-19 17:58:43.239801,1,FROG,82.14,SUCCESS
2026-01-19 18:06:32.523421,3,HOUSE,171.08,SUCCESS
